Title,Author,Direction,Type,Discipline,Date de soutenance,Établissement,Laboratoire,Ecole doctorale,Président,Examinateurs,Rapporteurs,Direction_1,Direction_2,Examinateur_1,Examinateur_2,Examinateur_3,Examinateur_4,Examinateur_5,Examinateur_6,Examinateur_7,Rapporteur_1,Rapporteur_2,Rapporteur_3,Rapporteur_4
Efficacité énergétique des phases de conception et d’exploitation des entrepôts de données,Issam Ghabri,"Ladjel Bellatreche, Sadok Ben Yahia",Thèse de doctorat,Informatique et applications,2022-12-29,"Chasseneuil-du-Poitou, Ecole nationale supérieure de mécanique et d'aérotechnique",Laboratoire d'Informatique et d'Automatique pour les Systèmes / LIAS,"École doctorale Sciences et Ingénierie des Systèmes, Mathématiques, Informatique (Limoges ; 2018-2022)",Amel Borgi,"Rim Faiz, Djamal Benslimane","Ikram Amous-Ben Amor, Nabil Layaida",Ladjel Bellatreche, Sadok Ben Yahia,Rim Faiz, Djamal Benslimane,,,,,,Ikram Amous-Ben Amor, Nabil Layaida,,
Amélioration des techniques de la géolocalisation dans les réseaux de capteurs sans fil : Application et implémentation temps réel,Oumaima Liouane,Toufik Bakir,Thèse de doctorat,Sciences pour l'Ingénieur,2022-12-27,"Bourgogne Franche-Comté en cotutelle avec  Faculté des sciences, université de Monastir, Tunisie",Imagerie et Vision Artificielle (ImVia) (Dijon),École doctorale Sciences pour l'ingénieur et microtechniques (Besançon ; 1991-....),Kamel Ben Othman,"Abdessalem Ben Abdelali, Smain Femmam, Camel Tanougast","Hajer Bouzaouache, Selma Boumerdassi",Toufik Bakir,,Abdessalem Ben Abdelali, Smain Femmam, Camel Tanougast,,,,,Hajer Bouzaouache, Selma Boumerdassi,,
Régularisation de problèmes inverses tensoriels par l'optimisation convexe : Applications au traitement des images et des vidéos,Oumaima Benchettou,"Abderrahman Bouhamidi, Abdeslem Hafid Bentbib",Thèse de doctorat,Mathématiques et leurs applications,2022-12-27,"Littoral en cotutelle avec  Université Cadi Ayyad (Marrakech, Maroc)","Laboratoire de mathématiques pures et appliquées (Calais, Pas de Calais)  - Laboratoire de Mathématiques Appliquées et Informatique (Guéliz Marrakech, Maroc)  - Laboratoire de Mathématiques Pures et Appliquées Joseph Liouville / LMPA","École doctorale Sciences, technologie et santé (Amiens)",Hassane Sadok,"Abdellah Bnouhachem, Hassan Safouhi, Otmane Souhar","Abdellah Bnouhachem, Hassan Safouhi, Otmane Souhar",Abderrahman Bouhamidi, Abdeslem Hafid Bentbib,Abdellah Bnouhachem, Hassan Safouhi, Otmane Souhar,,,,,Abdellah Bnouhachem, Hassan Safouhi, Otmane Souhar,
Algèbre multilinéaire appliquée à la restauration et à la reconnaissance d'images,Asmaa Khouia,"Hassane Sadok, Abdeslem Hafid Bentbib",Thèse de doctorat,Mathématiques,2022-12-26,"Littoral en cotutelle avec  Université Cadi Ayyad (Marrakech, Maroc). Faculté des sciences et techniques Guéliz","Laboratoire de mathématiques pures et appliquées (Calais, Pas de Calais)  - Laboratoire de Mathématiques Appliquées et Informatique (Guéliz Marrakech, Maroc)  - Laboratoire de Mathématiques Pures et Appliquées Joseph Liouville","École doctorale Sciences, technologie et santé (Amiens)",Nour Eddine Alaa,"Hassane Sadok, Abdeslem Hafid Bentbib, Hassan Safouhi, Otmane Souhar, Abdellah Bnouhachem","Hassan Safouhi, Otmane Souhar, Abdellah Bnouhachem",Hassane Sadok, Abdeslem Hafid Bentbib,Hassane Sadok, Abdeslem Hafid Bentbib, Hassan Safouhi, Otmane Souhar, Abdellah Bnouhachem,,,Hassan Safouhi, Otmane Souhar, Abdellah Bnouhachem,
Une contribution sur l’allocation ou la prévision d’actifs d’un portefeuille,Frédy Valé Manuel Pokou,"François Benhmad, Jules Sadefo Kamdem",Thèse de doctorat,Sciences économiques,2022-12-23,Université de Montpellier (2022-....),Montpellier Recherche en Économie,École doctorale Economie Gestion de Montpellier (2015-.... ; Montpellier),Pascal Nguyen,"François Benhmad, Jules Sadefo Kamdem, Pascal Nguyen, Fredj Jawadi, Duc Khuong Nguyen, Bernard Kamsu-Foguem","Fredj Jawadi, Duc Khuong Nguyen",François Benhmad, Jules Sadefo Kamdem,François Benhmad, Jules Sadefo Kamdem, Pascal Nguyen, Fredj Jawadi, Duc Khuong Nguyen, Bernard Kamsu-Foguem,,Fredj Jawadi, Duc Khuong Nguyen,,
Croissance économique et impacts environnementaux : évidences empiriques dans le cas des pays africains,Salsabil Yacour,"Sophie Dabo-Niang, Ahmed El Ghini",Thèse de doctorat,Sciences économiques,2022-12-23,Université de Lille (2022-....) en cotutelle avec  Université Mohammed V (Rabat),LEM - Lille Économie Management  - Laboratoire Paul Painlevé,"École doctorale Sciences économiques, sociales, de l'aménagement et du management (Lille ; 1992-....)",Raja Chakir,Ikram Jebabli,"Salim Bouzebda, Yousri Slaoui, Radouane Raouf, Mourad Afif",Sophie Dabo-Niang, Ahmed El Ghini,Ikram Jebabli,,,,,,,Salim Bouzebda, Yousri Slaoui, Radouane Raouf, Mourad Afif
Impact du changement climatique dans les modèles numériques à l'échelle régionale,Sabrine Derouiche,"Cécile Mallet, Zoubeïda Kebaili-Bargaoui",Thèse de doctorat,Hydrologie,2022-12-22,université Paris-Saclay en cotutelle avec  Université de Tunis El Manar,"Laboratoire Atmosphères, observations spatiales (Guyancourt, Yvelines ; 2009-....)",École doctorale Sciences de l'environnement d'Île-de-France (Paris ; 1992-....),Khlifa Maalel,"N'deye Peya Niang-Gaye, Habib Abida, Yadh Zahar","N'deye Peya Niang-Gaye, Habib Abida",Cécile Mallet, Zoubeïda Kebaili-Bargaoui,N'deye Peya Niang-Gaye, Habib Abida, Yadh Zahar,,,,,N'deye Peya Niang-Gaye, Habib Abida,,
Constrained optimization methods and application to Radar signal design,Paul Dufossé,Nikolaus Hansen,Thèse de doctorat,"Informatique, données, IA",2022-12-22,Institut polytechnique de Paris,Centre de mathématiques appliquées de l'Ecole polytechnique (Palaiseau ; 1974-....),École doctorale de l'Institut polytechnique de Paris,François Fages,"Nikolaus Hansen, Rodolphe Le Riche, Dirk V. Arnold, Jean-Philippe Ovarlez, Carlos Artemio Coello Coello, Youhei Akimoto, Marc Schoenauer","Rodolphe Le Riche, Dirk V. Arnold",Nikolaus Hansen,,Nikolaus Hansen, Rodolphe Le Riche, Dirk V. Arnold, Jean-Philippe Ovarlez, Carlos Artemio Coello Coello, Youhei Akimoto, Marc Schoenauer,Rodolphe Le Riche, Dirk V. Arnold,,
Caractériser les propriétés atmosphériques de naines rouges à partir de spectres obtenus avec SPIRou,Paul Cristofari,Jean-Francois Donati,Thèse de doctorat,"Astrophysique, Sciences de l'Espace, Planétologie",2022-12-22,Toulouse 3,Institut de recherche en astrophysique et planétologie (Toulouse ; 2011-....),"École doctorale Sciences de l’univers, de l’environnement et de l’espace (Toulouse)",Claire Moutou,"Jean-Francois Donati, Claire Moutou, Pascal Fouqué, Gaitee Hussain, Thomas Masseron","Thierry Forveille, Céline Reylé",Jean-Francois Donati,,Jean-Francois Donati, Claire Moutou, Pascal Fouqué, Gaitee Hussain, Thomas Masseron,,,Thierry Forveille, Céline Reylé,,
Influence de la méthionine synthase sur la neurogenèse postnatale & conséquences ophtalmologiques de l’invalidation de la méthionine synthase,Karim Matmat,"Rosa-Maria Guéant-Rodriguez, Jean-Baptiste Conart",Thèse de doctorat,Sciences de la vie et de la santé,2022-12-22,Université de Lorraine,Nutrition - Génétique et Exposition aux Risques Environnementaux (Nancy),"École doctorale BioSE - Biologie, Santé, Environnement",Jean-Noël Freund,"Rosa-Maria Guéant-Rodriguez, Claire-Marie Dhaenens, Jean-Louis Guéant","Jean-Noël Freund, Claire-Marie Dhaenens",Rosa-Maria Guéant-Rodriguez, Jean-Baptiste Conart,Rosa-Maria Guéant-Rodriguez, Claire-Marie Dhaenens, Jean-Louis Guéant,,,,,Jean-Noël Freund, Claire-Marie Dhaenens,,
